Change No.,Assign Dept,Category,Chs Change Level,Current Phase,Orig Date Entered,Requested Date,Close Time,Change Status,Title,Description,Requested by,Estimated LOE,Chs 2020 Focus,Chs Project,Owner,Chs Est Hours over 100,Priority Code,Logical Name,Affected Item,Actual Outage End
"C1123572","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","01/20/16 13:16:08","10/01/17 00:00:00","","IN PROGRESS","TSG PHOENIX - Disaster Recovery Information System","TSG PHOENIX - Disaster Recovery Information System Implementation Project

The purpose of this initiative is to design and implement an application information system to support TSG's disaster recovery program.","TLFREEMAN","450","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","TLFREEMAN","0","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1124635","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","2","RFC - COMPLETION","01/29/16 10:19:17","11/01/16 00:00:00","","PENDING REVIEW","Hyperion Upgrade","Hyperion Upgrade","DRAQUILO","520","FINANCIAL VITALITY","YES","DRAQUILO","0","2 - HIGH","HYPERION (EAS) ","APPLICATION SERVICES",""
"C1133098","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","2","RFC - IMPLEMENTATION","03/28/16 08:48:31","08/21/17 00:00:00","","IN PROGRESS","Jefferson College Student Health Records Portal Implementation","Jefferson College Student Health Records Portal - Research and Implement
Primary Contact: Margie Vest, Dir of Distance Learning
Timeline revised from March - August 2016 to November 2016 - August 2017
Reference: PRF203131

Description:
Client request to research a solution(s) to provide ability for Jefferson Students to upload their health records online as an alternative to faxing or mailing.

Planning phase: 14 days  2/14 – 2/28

Executing/Iteration phase: 3/1 – 6/14

Testing Phases:
1st phase: 30 days  6/14 - 7/13 (4 testers)
2nd phase:14 days: 7/14 - 8/3 (2 testers)
3rd phase: 7 days: 8/4 - 8/13  (top 15 of 60 Blue Week students, announced to Faculty and staff on 8/7 during Welcome Back Day) - remove beta test label on website 8/14

Soft Go-Live: 7 days: 8/14 - 8/20 (350+ new students)
Go Live: 8/21 (all returning students arrive on campus)
Monitor portal performance: 14 days   8/21 - 9/1
Closing phase: 30 days  9/2 - 10/2  (communicate support model and process for reporting future incidents, or change requests through Edison)","MAWOMACK","120","HEALTHY COMMUNITIES","YES","CEGLEISNER","0","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1135637","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","04/15/16 11:55:21","10/31/17 00:00:00","","IN PROGRESS","SAP SuccessFactors: Applicant Tracking and Onboarding Modules","SAP SuccessFactors: ATS and Onboarding Modules","DRAQUILO","645","WORKFORCE FOR THE FUTURE","YES","DRAQUILO","0","2 - HIGH","UNDETERMINED","APPLICATION",""
"C1136341","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","1","RFC - IMPLEMENTATION","04/21/16 13:34:47","10/09/17 00:00:00","","IN PROGRESS","2.8 Teletracking ORchestrate Implementation","RFC for Teletracking ORchestrate implementation","DPMARTIN","400","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","DPMARTIN","0","2 - HIGH","TELETRACKING ","APPLICATION SERVICES",""
"C1139409","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","05/17/16 14:28:59","08/12/17 00:00:00","","IN PROGRESS","Epic 2017 Upgrade","Epic Upgrade Program Tracking
This is our 2016 Upgrade’s project team’s RFC to track time and tasks against. We may release build in the 2017.1, 2017.2, 2017.3, and 2017.4 releases, but time spent towards refuel/upgrade should log against the RFC#","DPMARTIN","1500","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","DPMARTIN","0","1 - CRITICAL","EPIC CARE INPATIENT","APPLICATION SERVICES",""
"C1142102","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","06/09/16 08:21:36","11/15/17 00:00:00","","IN PROGRESS","Dose tracking appliction within Sectra","CORT: Dose tracking appliction within Sectra.  This part of the Sectra PACS project.
CC 13-70-9151-176700
CapID 85584
PO 1304343","EMGARCIA","385","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","AJRAY","0","2 - HIGH","SECTRA PACS","APPLICATION SERVICES",""
"C1143965","INTAKE_IT_GOVERNANCE","RFC - IMPLEMENTATION","2","RFC - RESEARCH","06/23/16 11:52:17","09/27/18 00:00:00","","PENDING REVIEW","Financial Systems Review","Financial Systems Review","RDWEBB","400","FINANCIAL VITALITY","YES","","0","3 - MEDIUM","STRATA JAZZ","APPLICATION SERVICES",""
"C1146673","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - RESEARCH","07/18/16 08:54:46","","","IN PROGRESS","EPIC Optime - SSI and ERAS (Clinical Pathways)","Consider Clinical Pathways for SSI  and ERAS initiative for streamlined defined care of the patient

Epic application module to be optimized: OR (Optime)

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
SBAR attached","DRWALKER","5000","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","PEKANODE","0","","EPIC OPTIME ","APPLICATION SERVICES",""
"C1149984","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","2","RFC - COMPLETION","08/10/16 08:35:11","07/31/17 00:00:00","","IN PROGRESS","Health Analytics Department Cube Build Project","Health Analytics Department Cube Build Project","SRMUNSEY","20","INNOVATION","YES","CASTOKES","0","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1151870","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - RESEARCH","08/25/16 11:37:35","","","PENDING VENDOR","Uniform Data System (UDS) and EPIC applications data exchange interfaces","SD-Need HL7 interface to provide automated, bidirectional data exchanges to ensure consistency between Uniform Data System (UDS) and EPIC applications.  The transactions will provide immediate, concurrent info in both UDS & Epic.  These interfaces will tremendous amounts of time. The following is a breakdown of the total needs.
HL7 License Fee - $3,495 - one time fee (not dependent on the number of interfaces selected)
ADT - patient demographics and insurance information into UDS, build and deployment to UAT/LIVE environments - $3,000 (one time fee)
IRF_PAI interface - FIM assessments and quality indicators into UDS, build and deployment to UAT/LIVE environments - $4,000 (one time fee)
DFT, CMG and CMS Accepted Date back to your billing system, build and deployment to UAT/LIVE environment - $2,500 (one time fee)
IRF-PAI document exchange as an embedded PDF back to the medical record, build and deployment to UAT/LIVE environment - $5,000 (one time fee)
HL7 Support Fee - $250.00 a month billed annually

Debbie Poore is aware of this need.

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Regulatory

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
HL7 will benefit in may ways. All functions are currently being handled manually, so this will save time, money and ensure timeliness of documentation.
1. Accurate patient demographics and insurance information will move from EPIC to UDS
2. Current collected data and new CMS required quality indicators data will move from EPIC to UDS
3. Current data provided by UDS will move back to EPIC
4. IRF-PAI (18 page document ) which is now printed on every patient and sent to be scanned in to EPIC will move to EPIC on its own.","SRSMITH2","600","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","TCBERBERT","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
"C1152137","INTAKE_DEFERRED_REQUESTS","RFC - OPTIMIZATION","3","RFC - RESEARCH","08/26/16 18:11:44","","","DEFERRED","OnBase - Sovera Document Image Storage Replacement Solution","Sovera Document Image Storage Replacement Solution (OnBase)","GTWOLFORD","10000","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","INTAKEPROCESS","0","2 - HIGH","SOVERA","APPLICATION SERVICES",""
"C1154448","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","4","RFC - IMPLEMENTATION","09/14/16 11:01:34","09/30/17 00:00:00","","IN PROGRESS","Shenandoah Life (CTaC Move)","New Site:  Shenandoah Life (Various Departments Moving)

New Location - ROANOKE 2301 BRAMBLETON AVE - #189

Site Name:  TBD

Description:  Renovation of facility, move CTaC.

Physical Address: 2301 Brambleton Avenue SW  Roanoke, Va. 24018

Contacts:  Jennifer Rotenberry, Curtis Mills, Kelly Howard, Dean Kelley, Mike Wray, Christy Stokes

Associated PRF:  206423 (CTaC), others TBD

Cost Center: **See below for CC info**

Capital Project/Strata #:  85769 (For Phase I)
Capital Project/Strata #:  8599 (For CTaC Additional Hardware)

Timeline:  Aug 2017

The building will pay $16k per month for circuit until it is occupied.  Company 12 owns the building so it would go to 12709156-800550 during construction.

======================3/2/17
Departement begin evaluaded for moving

(July) - This  RFC
CTaC

(August) - C1217156
Call Centers:  Carilion Direct, ROC, Casb 11th Fl
Billing
Util Mgmt (rehab ground floor)
=======================

*********************************12/31/16
      Potential Departments Moving
CTaC (14-70-8341-800336)
CASB Billing & Call Center - M . Devinney
Rehab Util Mgmt - D. Gentry
Rehab Carilion Direct - T. Nerenberg
ROC Ortho Call Center
TSG Help Desk - C.  Phelps
Potentially 1212 HR - H. Shepardson
*********************************","HDKELLEY","400","WORKFORCE FOR THE FUTURE","YES","HDKELLEY","0","3 - MEDIUM","UNDETERMINED","UNDETERMINED SERVICES",""
"C1155556","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","1","RFC - IMPLEMENTATION","09/22/16 16:58:59","10/23/17 00:00:00","","IN PROGRESS","1 ACR Select™ Implementation","ACR Select™, a licensed product of the ACR, is the digitally consumable version of the ACR Appropriateness Criteria®, ready to incorporate into computerized ordering and EHR systems to guide providers when ordering medical imaging scans.

ACR Select can be integrated with a wide variety of solutions for payers and providers for streamlined workflow at the point-of-care.","EMGARCIA","1000","FINANCIAL VITALITY","YES","CASTOKES","0","2 - HIGH","EPIC RADIANT","APPLICATION SERVICES",""
"C1157103","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - IMPLEMENTATION","10/06/16 09:23:20","03/30/18 00:00:00","","IN PROGRESS","2017 eCQM Hospital - Map, QA, educate and delivery by  1/1/2018","2017 eCQM Hospital  Reporting year: Map, QA, educate and delivery by  1/1/2018 4 more eCQM for IQR and MU programs - see attached statement of work","DMLITTLEPAGE","350","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","RBFARRIS","0","1 - CRITICAL","EPIC CARE INPATIENT","APPLICATION SERVICES",""
"C1159059","INTAKE_IT_GOVERNANCE","RFC - IMPLEMENTATION","3","RFC - IMPLEMENTATION","10/24/16 17:43:52","02/01/17 00:00:00","03/28/17 16:59:55","PENDING REVIEW","UpToDate Integration With Epic","UpToDate Anywhere in Epic Project produced by Wolters Kluwer.

UpToDate is a software integrated with Epic.  Users can press a blue ""i"" icon embedded in Epic and are automatically linked with the UpToDate website where clinicaians have access to more than 10,500 topics in over 20 specialities with a single click.  There is a yearly subscription to the UpToDate website.  The UpToDate website is available via Mobile Devices and when accessed via Epic, passes login credentials.  Users will earn CME credits by using website and it is tracked internally.","JLGLEASON","50","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","INTAKEPROCESS","0","2 - HIGH","UNDETERMINED","UNDETERMINED SERVICES",""
"C1162722","INTAKE_IT_GOVERNANCE","RFC - IMPLEMENTATION","3","RFC - RESEARCH","11/23/16 17:06:41","","","PENDING REVIEW","Research Virtual Classroom for HR","Research Virtual Classroom for HR - Routing to Intake Triage to look at and advise, see attachments:

Email from Tara Wiedeman:
At different times, for projects such as Epic, we’ve been asked to consider the use of technology as a way to provide training to our employees without relying on classroom or online learning.

We are requesting a virtual classroom that will allow us the opportunity to provide more robust training to our employees and leaders but doesn’t require us to rely on physical classroom space.

We would like this virtual classroom as a training option for the upcoming Kronos training that we are developing.  If we had this technology, we could have just a few master trainers (training remotely) that could facilitate multiple virtual classrooms across the organization.

Without the virtual classroom, we would need more trainers and more physical classroom spaces to accommodate the Kronos training for employees and leaders.

I’m happy to discuss in more detail.  Please let me know next steps and what other information you may need to move forward.  I will put in the PRF so that you can reference.

Thanks!


*See attached Word Document","HDKELLEY","750","INNOVATION","YES","INTAKEPROCESS","0","4 - LOW","UNDETERMINED","UNDETERMINED SERVICES",""
"C1162771","INTAKE_IT_GOVERNANCE","RFC - IMPLEMENTATION","3","RFC - RESEARCH","11/25/16 12:07:47","","","DEFERRED","AEAC: 31.3  Pilot Project for VT Research Dementia App Team (DESA)","Pilot Project for VT Research Dementia App Team (DESA)

Anne M. Brown, Ph.D., is working with Drs. Trinkle and Bankole to submit a RAP grant for approval:
=========================================
Brief summary --

Two of my students won the Global Health Hackathon sponsored by Carilion Clinic in Spring 2016. The winning app proposed to be a platform for mental health/cognition assessment to be taken in real time/real environment by individuals on smart devices as ""prescribed"" by a physician. Carilion would like to see what having this app piloted would look like. By having individuals answer questions (even taking already validated exams like MoCA) relevant to mental health/cognition in real time, more insight and data could be provided to a physician to better understand an individual's baseline and how events affect scores and (hypothesized) aid in physician diagnosis.  The RAP grant that is in preparation would be the pilot study to test this app, relevant to mild cognitive impairment (comparing to MoCA). The study is looking to better understand usability by both patient and physician, usage of digital platforms to test cognition (vs pen and paper test), and test out the flow of information relevant to collecting data on patients in this way and integrating that into an EMR.
=========================================
Keith, Barbara, Dr. Morgan, Dr, Speaker, Vicki R. and Ashley Quick met with Anne Brown and her team on Thu Nov 10 to review.

There would be two phases:

phase 1- The physician would access the patient record in the DESA application using a secure link from Epic that identifies the patient by the unique ID created in Epic.

phase 2 - The DESA application would send back discrete values to Epic.","VJRIGGINS","1500","INNOVATION","YES","INTAKEPROCESS","0","2 - HIGH","EPIC (CACHE)","APPLICATION SERVICES",""
"C1163332","INTAKE_NONCLINICAL_PRIORITIZATION","RFC - IMPLEMENTATION","4","RFC - RESEARCH","11/30/16 15:34:51","","","PENDING REVIEW","CTaC Evacuation Project - CCPT","CTaC Evacuation Project - CCPT


Assess the needs for building out a space for CTaC to have an operations center in case of emergency.

New Department:  CTaC needed in Maximo for this site

Site Name:  CCPT

Description:  CTaC Evacualtion Project

Physical Address: McClanahan (Current CPTS Site)

Contacts:  Chris Tuck, Mel Morris, Vasile Gocan

Cost Center: 14-70-8341-800336

Capital Project/Strata #: TBD

Timeline:  TBD


** Tasks to be spun off of this change:  Purchase/Install Hardware, Assess Phone/Gateway, Wireless, Cabling","HDKELLEY","250","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","","0","4 - LOW","UNDETERMINED","UNDETERMINED SERVICES",""
"C1164198","SOLUTIONS_DELIVERY_CLINICAL","SERVICE CATALOG REQUEST","2","ESS - RESEARCH","12/08/16 08:53:13","","","PENDING REVIEW","VNA: Move OB/GYN Ultrasounds at Riverside to VNA (Sectra)","OB/GYN Ultrasounds to VNA (Sectra)

Software or Application: SECTRA PACS

Requested By Date: 01/06/17 00:00:00

Description:
OB/GYN is consolidating 2 practices into 3 Riverside 2 North. The practices will procure two new Philips Affiniti ultrasounds that are dicom compatible. We would like to use Sectra PACS as a means to store and manage these images. PACS is already in the building and Clinical Engineering has validated that the ultrasounds meet the enterprise requirements to connect to PACS, however there are questions whether or not the VNA can accept ultrasound studies. Please advise.","SLUNDERWOOD","200","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","TRSTUCKEY","0","","SECTRA PACS","APPLICATION SERVICES",""
"C1165208","SOLUTIONS_DELIVERY_NONCLINICAL","SOFTWARE REQUEST","1","ESS - RESEARCH","12/14/16 15:08:01","10/01/17 00:00:00","","PENDING CUSTOMER","2.7 Clockwise MD - (Contract Pending)","Clockwise MD is the System to replace I-Triage
Requested By Date: 12/30/16 00:00:00
Provide a short description of the business issue or need you are trying to address:
Please arrange demonstration with Clockwise. System to replace I-Triage which is not renewing contracts. Karen Hodges has information
Provide clinical and/or financial background information pertinent to the business need:
Replace I-Triage for VelocityCare sites. Karen knows contacts.
What are you attempting to achieve and what benefits are you attempting to attain? Necessary to maintain existing revenue or service (break-fix) To provide a means of pre-registration to the patients for our VelocityCare sites. This application provides wait times for the patients as well as robust reporting functionality.
Has a product or vendor already been reviewed or selected? No- exploring options
  Would there be an ongoing contract associated with this proposed solution? No contract required; can set up on a month-to-month basis
  Would this solution be purchased or leased? null
  Would the solution be hosted offsite in the ""cloud""? null
  From what devices would the solution be accessed? tablets, front desk workstations, exam rooms &/or nurses' stations
  What other vendors were researched and considered for this solution? none
  Please list at least 2 reference locations (non-Carilion) that are using this product: null
  Please provide the name of the selected vendor: Clockwise.md
  Please provide the URL of the selected vendor's web site: https://clockwise.md/
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? I-Triage
If this request is denied or delayed, what may happen as a result? I-Triage is not renewing contracts. VC sites would lose internet presence.
Who is your financial advisor? Adrienne Sowers
Have you discussed this solution with your financial advisor? Yes
  What dollar amount are you requesting? Monthly subscription
  What would the annual operating cost be? Depends on services
  How many net new FTEs would be required for this solution? 0
Would there be any cost savings associated with this request? No
  Provide a descritpion of the cost savings:

Will confidential Carilion Clinic information be stored or transmitted by this system? No
  Please check information types that apply: null
Is this a clinical or non-clinical based system? Non-Clinical","MBLOWERY","750","CONNECTED, CONVENIENT, COLLABORATIVE CARE","YES","TLFREEMAN","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1165352","SOLUTIONS_DELIVERY_CLINICAL","SOFTWARE REQUEST","2","ESS - IMPLEMENTATION","12/15/16 13:40:35","05/31/17 00:00:00","","IN PROGRESS","RaySearch - Replacement for Radiation Oncology Treatment Planning system","RaySearch: Replacement for Radiation Oncology Treatment Planning system
Requested By Date: 12/16/16 00:00:00
Provide a short description of the business issue or need you are trying to address:
Replacement for Radiation Oncology Treatment Planning system
Provide clinical and/or financial background information pertinent to the business need:
Treatment planning system is required to design the treatment filds utilized for the radiation delivery.  Current system is
What are you attempting to achieve and what benefits are you attempting to attain? Necessary to maintain existing revenue or service (break-fix)
Has a product or vendor already been reviewed or selected? Yes
  Would there be an ongoing contract associated with this proposed solution? Yes
  Would this solution be purchased or leased? Purchased
  Would the solution be hosted offsite in the ""cloud""? No
  From what devices would the solution be accessed? Carilion Computers
  What other vendors were researched and considered for this solution? Varian, Phillips
  Please list at least 2 reference locations (non-Carilion) that are using this product: Ironwood Cancer and Research Centers
  Please provide the name of the selected vendor: RaySearch
  Please provide the URL of the selected vendor's web site: http://raysearchlabs.com/
Would this initiative replace an existing solution? Yes
  What is the solution being replaced? Our current Phillps ADAC treatment planning
If this request is denied or delayed, what may happen as a result? Patient radiation treatments will be delayed and eventually stopped.
Who is your financial advisor? Emily Brown / Rhonda Shannon
Have you discussed this solution with your financial advisor? No
  What dollar amount are you requesting? null
  What would the annual operating cost be? null
  How many net new FTEs would be required for this solution? null
Would there be any cost savings associated with this request? No
  Provide a descritpion of the cost savings:

Will confidential Carilion Clinic information be stored or transmitted by this system? Yes
  Please check information types that apply: Patient
Is this a clinical or non-clinical based system? Clinical","CPSARGENT","2","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","RDHUFFMAN","0","","UNDETERMINED","UNDETERMINED SERVICES",""
"C1165874","SOLUTIONS_DELIVERY_CLINICAL","SERVICE CATALOG REQUEST","3","ESS - IMPLEMENTATION","12/20/16 12:10:55","09/29/17 00:00:00","","IN PROGRESS","Rauland Responder 5 - Nurse Call at CFMH","Is this for a new FTE (Full Time Employee)?

No

What device(s) will you be implementing?:

PC / Computer: null

Laptop: null

Printer: null

Scanner: null

Webcam: null

Other: Patient Call System

Location: FRANKLIN MEMORIAL HOSPITAL

Floor: Hospital wide

Room: hospital wide

Cost Center: 05-01-6000-300800

Requested By Date: 01/31/17 00:00:00

Description:
Please install a new patient call system - see Roger Huffman","GGDARBY","500","CLINICAL ADVANCEMENT AND PATIENT SAFETY","YES","RDHUFFMAN","0","","NOT.LISTED","HARDWARE SERVICES",""
