Change No.,Assign Dept,Category,Chs Change Level,Current Phase,Orig Date Entered,Requested Date,Close Time,Change Status,Title,Description,Requested by,Estimated LOE,Chs 2020 Focus,Chs Project,Owner,Chs Est Hours over 100,Priority Code,Logical Name,Affected Item,Actual Outage End
"C1097692","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","4","RFC - IMPLEMENTATION","04/13/15 14:58:43","09/18/17 00:00:00","","PENDING VENDOR","Acadaware Implementation for Nursing, RT, and ST programs at Jefferson College","Acadaware Implementation for Nursing, RT, and ST programs at Jefferson College

Description:
RT = Respiratory Therapy
ST = Surgical Technologies","JBROMEISER","99","","NO","JBROMEISER","0","3 - MEDIUM","UNLISTED  APPLICATION","APPLICATION SERVICES",""
"C1106647","SOLUTIONS_DELIVERY_NONCLINICAL","EPIC SERVICES REQUEST","3","ESS - RESEARCH","07/28/15 08:37:54","","","IN PROGRESS","Change EP lab charges from filing automatically to manual process.","Change EP lab charges from filing automatically to manual process.

Epic application module to be optimized: Cupid (Cardiant)

Improvement Initiative this Optimization will effect: Cost Containment

Who will be impacted by this Optimization: 3-UNIT / DEPT

Benefit / Value: 
Cardiology has decided that procedure log should be reviewed after each case and patients charged for the items that have been used during the procedure. This process is currently used for the Cath lab area and it seems to be working well.","EXSABANOVIC1","60","","NO","KMSAUNDERS","0","","EPIC CUPID (CARDIANT)","APPLICATION SERVICES",""
"C1106835","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - REQUEST FOR CHANGE","07/29/15 10:00:41","08/31/16 00:00:00","","DEFERRED","Lawson to CSOD Process Automation for Rob James","Lawson to CSOD Process Automation for Rob James

Rob James needs Lawson to CSOD process automation. This should include: 1) changes to the Lawson data export 2) automated file encryption 3) ftp or other connection to CSOD servers

Converted from PRF # 198848

http://chsweb.carilion.com/Pbase/query/ShowPrf.jsp?prfNumber=198848","RBJAMES","80","","NO","DBFRANK","0","4 - LOW","LAWSON ","APPLICATION SERVICES",""
"C1112351","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","1","RFC - IMPLEMENTATION","09/30/15 11:29:05","10/31/17 00:00:00","","IN PROGRESS","Mammography Tomosynthesis Project","Mammography Tomosynthesis Project

Implement Mammo Tomo at all locations","LLATKINSON","750","CLINICAL ADVANCEMENT AND PATIENT SAFETY","NO","TASTEVENS","0","2 - HIGH","IMPAX","APPLICATION SERVICES",""
"C1113573","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","3","RFC - IMPLEMENTATION","10/13/15 15:55:40","09/15/17 00:00:00","","IN PROGRESS","R4 - upgrade from version 4.20.57 to 4.20.300/build new VM servers for both PROD and TEST/migrate data to new VM servers","R4 needs to be upgraded and then migrated to the new VM server.  We are currently on R4 version 4.20.57 and will be upgrading to 4.20.300.","TLSHIRLEYMCCOWN","87","","NO","TASTEVENS","0","3 - MEDIUM","R4 / ACERT","APPLICATION SERVICES",""
"C1124209","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","3","RFC - IMPLEMENTATION","01/26/16 15:53:09","08/01/17 00:00:00","","IN PROGRESS","Wireless infrastructure at CRCH","Wireless infrastructure at CRCH.

Work with Blackbox to replace DAS with voice grade wireless infrastructure.","JNPAGANS","160","CONNECTED, CONVENIENT, COLLABORATIVE CARE","NO","JLOGLE","0","1 - CRITICAL","NOT.LISTED","HARDWARE SERVICES",""
"C1130121","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - IMPLEMENTATION","3","RFC - REQUEST FOR CHANGE","03/07/16 09:33:57","07/28/17 00:00:00","","NOT STARTED","Interconnect Data Archiving:  Using Interconnect to delete objects from web blob and archive","Interconnect Data Archiving:  Using Interconnect to delete objects from web blob and archive

Updated:  2017/05/25
This will require a new Windows VMs for an Interconnect server, 1 for non-PRD and most likely 2 for PRD, might be able to get away with just 1.","RRFISHER","16","","NO","","0","2 - HIGH","EPIC INTERCONNECT","APPLICATION SERVICES",""
"C1133176","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","2","RFC - REQUEST FOR CHANGE","03/28/16 13:31:29","04/22/17 00:00:00","","NOT STARTED","CMAP - Med Assistance: Task Template for InBasket Documentation","CMAP -  Med Assistance: Task Template for InBasket Documentation

Based on current Sample and CMAP workflows, medication Lot #'s and manufacturer information are being entered as Free Text in Pharmacy Notes.  This does not allow the reporting team to run a report based on Lot # if a medication recall occurs, or if the manufacturer requests any information.

Epic's Foundation workflow uses a Task Template to send the Order Class of ""Sample"" to the Order Information folder for discreet documentation of manufacturer, NDC, Lot #, etc information.

We would like to use this same functionality for the Order Class of ""Med Assistance""

This will affect the Sample and CMAP workflows.

Attached are screenshots from Foundations.

Krista C. was involved in researching.","EHDEACON","8","CONNECTED, CONVENIENT, COLLABORATIVE CARE","NO","","0","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1133583","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","03/30/16 16:11:27","","","PENDING REVIEW","Infor Process Automation (IPA)","Infor Process Automation (IPA) project to automate requisition approvals.

Sub-tasks will be created to create a data governance structure that captures the expense approvals for requistions and invoices along with designing the various workflows.","JEWRIGHT","750","FINANCIAL VITALITY","NO","JEWRIGHT","0","3 - MEDIUM","LAWSON ","APPLICATION SERVICES",""
"C1134886","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","04/11/16 14:46:07","","","DEFERRED","Q2-REFUEL - 2015 UPGRADE BACKLOG-  Evaluate and implement Epic/s Isolation and Infection Management setup.","Q2-REFUEL- 2015 UPGRADE BACKLOG- Evaluate and implement Epic/s Isolation and Infection Management setup.
THis would replace the custom LDAs currently used.

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
Return to Foundation","STRICHARDSON","","CLINICAL ADVANCEMENT AND PATIENT SAFETY","NO","","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
"C1140839","SOLUTIONS_DELIVERY_NONCLINICAL","EPIC SERVICES REQUEST","4","ESS - REQUEST FOR CHANGE","05/27/16 15:05:01","","","NOT STARTED","Send account back to Bad Debt (SCA) regardless of the balance once the CFAP adjustment has been applied.","Create logic that sends the account back to Bad Debt (SCA) regardless of the balance once the CFAP adjustment has been applied. SCA will notify the patient of the remaining balance. This opt is a result of HD tkt SD685381 / IM325314. Note: Once self pay levels are in place, this issue should be resolved.  Until this is resolved, a report will need to be run and sent to appropriate areas to manually fix these accts.

Epic application module to be optimized: Billing (Professional)

Improvement Initiative this Optimization will effect: null

Who will be impacted by this Optimization: 2-CLINIC / NON-HOSPITAL

Benefit / Value:","PHSUTPHIN","","","NO","","0","","EPIC PROFESSIONAL BILLING","APPLICATION SERVICES",""
"C1143795","SOLUTIONS_DELIVERY_CLINICAL","RFC - MAINTENANCE","3","RFC - REQUEST FOR CHANGE","06/22/16 11:12:59","05/15/17 00:00:00","","NOT STARTED","LYMPHOCYTE SUBSET PANEL 5 (G597)","LYMPHOCYTE SUBSET PANEL 5 (G597)
Results prior to 07/15/15 I am able to see using result component base and common names.  Anything newer are not showing in my metric rules.  Spoke with Mabel and she states that since the results do look different as well this is most likely due to an integration change from Solstace.

Putting in a ticket to request an investigation be opened to ascertain what change took place and what needs to be fixed for results to show for these labs along with what other labs were effected.","TAORANGE","150","","NO","","0","2 - HIGH","EPIC CHRONICLES","APPLICATION SERVICES",""
"C1143952","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","06/23/16 11:14:11","08/31/17 00:00:00","","IN PROGRESS","Change PayFlex bi-weekly job lawson payflex so that it does not rely on jqsubmit command in JQPAYDATU in jobdef lawson payflexsbm","Change PayFlex bi-weekly job lawson payflex so that it does not rely on jqsubmit command in JQPAYDATU in jobdef lawson payflexsbm

User submitted the following online submission:

David Frank is aware of this issue.  He asked me to open a ticket. Every Wednesday of a payroll week a report is sent to PayFlex, from TSG, with a breakdown of all employees contributing to FSA accounts .The past 2 payroll weeks, the file has not been sent over and funds have not been available to our employees contributing money toward the FSA benefit. I emailed David Frank both weeks and he kindly resent the file.  There is an issue because this has happened two weeks in a row, which is abnormal.

Additional Data

Affected Service: File Feed to PayFlex (our FSA) venddor
Impact: Impacting the entire facility
User Name: This is a report that is created from TSG and sent to our vendor

AD user ID: HLWELTER
User : Heather Welter
Report name: File feeed to PayFlex for TSG FSA

No kb found.  Since this is related to benefits/money, it is likely related to lawson.  Jennifer Smith confirmed David Frank is on Enterprise apps team.","HLWELTER","10","","NO","DBFRANK","0","4 - LOW","LAWSON ","APPLICATION SERVICES",""
"C1144027","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","06/23/16 15:37:01","","","NOT STARTED","AEAC 16.5 Request to research using Care Everywhere to automate paper pathology labs performed at UVA for Carilion Clinic patients","AEAC: [INTAKE] Need PM- Project- Request to research using Care Everywhere to automate paper pathology labs performed at UVA for Carilion Clinic patients

Walt Fisher and I spoke at length last week regarding Dr. Algino’s request for testing performed at UVA being sent back to Carilion EPIC.  He had several ideas on how to make this happen and did think it was possible.  I believe the next steps would be to get a project approved and to be assigned a project manager from Carilion.

What do we need to do to get this process rolling?

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:","MLSPEAKER","","","NO","","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
"C1145760","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","07/08/16 15:12:06","","","NOT STARTED","Need to research Lab orders on Discharge- issues found from billing where a loss of revenue has been","Need to research Lab orders on Discharge- issues found from billing where a loss of revenue has been found.
** we think is on Segacious radar *****
Email from Deborah StClair with lab charge on lab orders for post discharge.
The patient returns to lab post discharge and lab release orders. There are under hospital MRN so in lab system patient registration is under hospital work to return in bill file to Carilion for billing vs ambualtory charges.

DIAMOND,ZAIDEN MICHAEL [3669081] can you help on this one /pt was discharged from inpatient 1/19/ and this lab is 1/20.  This is the 'orders only' scenario.

GUYNN,ASHLEY 1/21 pt was in ed 1/16 and had the same lab, the encounter is hospital where the one on 1/21 has
encounter of orders only.
***
Debbie Rucker, Krista Coleman and Mabel Jones have researched the issue and propose the following build be put in place to handle new workflow:

High Level Plan: (Proposed Workflow):
When Provider places orders on a patient during the Inpatient Discharge process (Discharge Navigator),
order needs to follow a AMB workflow. Any lab order placed during discharge would need to default to Status of ""Future"". In order for lab to release order and process as an AMB order, the InPatient rule would need to be modified to force the order to AMB. By modifying the IP rule to look at all lab order types (Chemistry, Hematology etc.), and status of Future this can be accomplished. Lab order will then be sent to InBasket pool created by AMB. AMB rule will be modified to funnel orders to new department that is created for these discharge lab orders. When CCL service center staff logs into Epic, the IB pool is attached and they can access orders. CCL process will be the same as any existing AMB workflow which includes Quest billing from this point forward. For resutls from this department, they will need to be routed to the Ordering Provider.
TASKS:

To have the InPatient orders rule and Ambulatory rule reviewed to determine where additions can be made to improve order process upon patient discharge.
Created new Ambulatory Dept for Discharge Labs","RLMAUER","125","","NO","","0","1 - CRITICAL","EPIC CARE INPATIENT","APPLICATION SERVICES",""
"C1145847","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","4","RFC - IMPLEMENTATION","07/11/16 09:37:20","10/06/17 00:00:00","","IN PROGRESS","Evaluate the ability to automate Kronos groups based upon exemption flags in Lawson.  This appears t","Evaluate the ability to automate Kronos groups based upon exemption flags in Lawson.  This appears to be an issue with new employees are hired within the exempt group and when employees moved between exempt and non-exempt.","BAHECK","24","","NO","TARINN","0","3 - MEDIUM","KRONOS / TELETIME ","APPLICATION SERVICES",""
"C1145958","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","4","RFC - RESEARCH","07/11/16 16:48:17","12/30/17 00:00:00","","PENDING CUSTOMER","We need to develop a process to create a mini-run for payroll printed checks.  Please see the attach","We need to develop a process to create a mini-run for payroll printed checks.  Please see the attached information provided by Charlotte Roop.","CMROOP","16","","NO","DBFRANK","0","3 - MEDIUM","LAWSON ","APPLICATION SERVICES",""
"C1146387","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","4","RFC - IMPLEMENTATION","07/14/16 11:19:30","09/15/17 00:00:00","","PENDING CUSTOMER","Lawson process Wells Fargo feedback: Allow BN contrib changes for termed employees within 30 days of","Lawson process Wells Fargo feedback: Allow BN contrib changes for termed employees within 30 days of run date","CDDUDLEY","12","","NO","DBFRANK","0","3 - MEDIUM","LAWSON ","APPLICATION SERVICES",""
"C1146553","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - REQUEST FOR CHANGE","07/15/16 08:09:32","08/15/16 00:00:00","","NOT STARTED","Needs Prioritization Radiant/Imaging Suncommittee Would like to implement Phases of Care in IR to Use the Rx orderset built for  chemoembolization.","Needs Prioritization Radiant/Imaging Subcommittee
Orderset built for C1144069 will not work with current IR workflow. Would like to implement Phases of Care in IR to allow use of the Rx orderset built for chemoembolization.","AMHUGGINS","0","","NO","","0","","EPIC RADIANT","APPLICATION SERVICES",""
"C1147960","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","2","RFC - RESEARCH","07/25/16 11:52:53","09/30/17 00:00:00","","IN PROGRESS","Trendstar Upgrade","Trendstar Upgrade","JEWRIGHT","250","FINANCIAL VITALITY","NO","TECALLAHAM","0","3 - MEDIUM","HBOC TRENDSTAR ","APPLICATION SERVICES",""
"C1149018","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - REQUEST FOR CHANGE","08/03/16 11:36:53","01/01/17 00:00:00","","NOT STARTED","Work to combine the multiple colored banners in EPIC - determine the severity of the banners, color code them using red, yellow and green (high to low). There was a presentation at XGM 2016 with how this other system did the build.","CORT 9/6/16 Work to combine the multiple colored banners in EPIC - determine the severity of the banners, color code them using red, yellow and green (high to low). There was a presentation at XGM 2016 with how this other system did the build.

Epic application module to be optimized: Inpatient

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
This will make it more defined for the information within the chart; this build will decrease the maintanence and make banner request standardized","DRWALKER","0","","NO","","0","","EPIC CARE INPATIENT ","APPLICATION SERVICES",""
"C1150008","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","2","RFC - RESEARCH","08/10/16 09:22:06","","","IN PROGRESS","There is an Epic Userweb thread regarding printing one requisition for multiple labs on the same pat","There is an Epic Userweb thread regarding printing one requisition for multiple labs on the same patient.  Many sites have asked why multiple reqs have to print for the same patient with the same information repeated, so I was wondering if this userweb thread could be investigated to see if we could reduce the paper that has to be printed with our labs?

It sounds like this is only possible if we use Rich Text reports for lab requisitions, and we currently use Plain Text.

Attached is the userweb thread from Epic.","EHDEACON","","","NO","DLCAMERON","0","1 - CRITICAL","EPIC CARE AMBULATORY","APPLICATION SERVICES",""
"C1150846","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","3","ESS - RESEARCH","08/16/16 14:16:49","","","IN PROGRESS","AEAC:  13.5 - Please add the electronic consent feature to Epic for CCR3 Plastic and Reconstructive Surgery and the Carilion Clinic Cosmetic Center.","Please add the electronic consent feature to Epic for CCR3 Plastic and Reconstructive Surgery and the Carilion Clinic Cosmetic Center.

Epic application module to be optimized: Ambulatory

Improvement Initiative this Optimization will effect: Documentation Improvement

Who will be impacted by this Optimization: 2-CLINIC / NON-HOSPITAL

Benefit / Value:
During our latest AAAASF survey/inspection, one area of improvement was obtaining consents. Having the electronic consent feature would greatly improve that measure. Please expedite this request, as we need to demonstrate correction in a timely manner. For questions, please contact Jane Sawvel at 540-853-0389. Thank you.","RSBROWN1","","","NO","","0","","EPIC CARE AMBULATORY ","APPLICATION SERVICES",""
"C1152140","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - OPTIMIZATION","3","RFC - RESEARCH","08/27/16 00:18:17","","","IN PROGRESS","PDetermine sensitivity of interfaces and end-point systems to check digit on end of Smart numbers for","Determine sensitivity of interfaces and end-point systems to check digit on end of Smart numbers for providers.  Determine feasibility of switching end-point systems from utilization of Smart number","GTWOLFORD","","","NO","DLPHILLIPS1","0","2 - HIGH","UNLISTED  APPLICATION","APPLICATION SERVICES",""
"C1153379","SOLUTIONS_DELIVERY_NONCLINICAL","RFC - MAINTENANCE","4","RFC - RESEARCH","09/06/16 14:34:30","06/30/17 00:00:00","","IN PROGRESS","Joe Wright and his Tax group are wanting to use their tax vendor's new software.","Joe Wright and his Tax group are wanting to use their tax vendor's new software.

We need to engage his team and learn more about what their needs are and help shepard this project through the TSG's processes.","JEWRIGHT","4","","NO","JEWRIGHT","0","3 - MEDIUM","LAWSON ","APPLICATION SERVICES",""
"C1154077","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - REQUEST FOR CHANGE","09/12/16 10:22:09","","","NOT STARTED","Currently epic will allow a final report to over-right another final report which is causing issues.  Krista may be able to make a change in AMB to allow a radiologist report to update in radiant when a physician in a FP or Vel Care completes a procedure","Currently epic will allow a final report to over-right another final report which is causing issues.  Krista may be able to make a change in AMB to allow a radiologist report to update in radiant when a physician in a FP or Vel Care completes a procedure note to finalize the report.  This change would allow the radiant team to block a final report if a final already exists.

Epic application module to be optimized: Radiology (Radiant)

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 1-ENTERPRISE / HOSPITAL

Benefit / Value:
This would allow the FP’s and Vel Cares to keep their over-read workflow and help stop the current issue of having final reports from direct over-righting finals reports from Carilion radiologist","GRMEADOWS","15","","NO","","0","","EPIC RADIANT ","APPLICATION SERVICES",""
"C1154417","SOLUTIONS_DELIVERY_CLINICAL","RFC - IMPLEMENTATION","2","RFC - RESEARCH","09/14/16 08:55:35","04/10/17 00:00:00","","PENDING CUSTOMER","Replacement of Analog Radiology with Digital at 7 FCM sites","Replacement of Analog Radiology with Digital at 7 FCM sites.

Floyd,Galax,ft Defiance,Blue Ridge,Staunton,Colonial,Blacksburg.

Blacksburg is underway as emergent replacement.

PRF 205651

CC # 00-00-0041-588311

Strata # 85703

Priority Site Replacement Required
1 Floyd Room and DR Plate
2 Fort Defiance Room and DR Plate
3 Blue Ridge Room and DR Plate
4 Galax DR Plate
5 Staunton Room and DR Plate
IP Blacksburg DR Plate _IN PROGRESS
7 Colonial DR Plate

911 E Mail - Floyd - Digital Imaging
1371 Lee Highway - Verona - Digital Imaging
37 Laymantown Rd - Troutville - Digital Imaging
199 Hospital Drive - Galax - Digital Imaging
40 Lambert St - Staunton - Digital Imaging
901 Plantion - Blacksburg - Digital Imaging
3369 Colonial Ave - Roanoke - Digital Imaging

Site Current WAN Circuit
901 Plantion - Blacksburg - Digital Imaging 10Mb MPLS
911 E Main - Floyd - Digital Imaging 3Mb MPLS
199 Hospital Drive - Galax - Digital Imaging 10Mb MPLS
40 Lambert St - Staunton - Digital Imaging 10Mb TLS
37 Laymantown RD - Troutville - Digital Imaging 10Mb TLS
1371 Lee Highway - Verona - Digital Imaging 1.5Mb MPLS
3369 Colonial Ave - Roanoke - Digital Imaging","HDKELLEY","50","CONNECTED, CONVENIENT, COLLABORATIVE CARE","NO","INMUNSEY","0","4 - LOW","UNDETERMINED","UNDETERMINED SERVICES",""
"C1155832","SOLUTIONS_DELIVERY_CLINICAL","RFC - OPTIMIZATION","3","RFC - REQUEST FOR CHANGE","09/26/16 11:19:28","","","NOT STARTED","AEAC: 14.8  Requested by Zac Widner and Caroline Butt to have a ""dummy"" test patient for MyChart to show patient"," AEAC: 14.8  Requested by Zac Widner and Caroline Butt to have a ""dummy"" test patient for MyChart to show patient side and how to interact in MyChart with getwellnetwork.

Clients also requested a direct link to GWN using the mobile app.","KMGILLIAM","","","NO","","0","2 - HIGH","EPIC MYCHART","APPLICATION SERVICES",""
"C1155845","SOLUTIONS_DELIVERY_CLINICAL","EPIC SERVICES REQUEST","2","ESS - IMPLEMENTATION","09/26/16 11:50:05","09/08/17 00:00:00","","IN PROGRESS","AEAC: 20.4 Currently, the Neuroproc that is being utilized for IR is AMB Referral to Neuroproc. This order is a referral and does not allow for the referral to be acted upon for the procedure being completed in IR. We would like for an additional Neuropro","Needs A-EAC Review  Currently, the Neuroproc that is being utilized for IR is AMB Referral to Neuroproc. This order is a referral and does not allow for the referral to be acted upon for the procedure being completed in IR. We would like for an additional Neuroproc to be placed named IR Neuroproc that mimcs the AMB Referral to Neuroproc but is a procedure order vs. a referral. We DO NOT want the AMB Referral to Neuroproc deleted as we will still utilze this for main OR cases a we do today.

Epic application module to be optimized: Ambulatory

Improvement Initiative this Optimization will effect: Quality and Safety

Who will be impacted by this Optimization: 2-CLINIC / NON-HOSPITAL

Benefit / Value:
This will ensure that additional orders will no long have to be placed in order for the procedure order to be acted upon. Currenlty, Additional orders are having to be placed to allow for the Neuroproc to be acted upon due to radiant and ambulatory compatability.","KNWIMMER","3","","NO","KMSAUNDERS","0","","EPIC CARE AMBULATORY ","APPLICATION SERVICES",""
